% Model:              me_rodliteral_losses.mph
% Version:            COMSOL 5.2.1.262
% Date:               Oct 3 2017, 22:13
% Dimension:          3
% Nodes:              65331
% Expressions:        1
% Description:        Energy (Joules)
% Length unit:        mm
% x             y              z              real(f32energy(bn,es.normE,ang))-enm
1.5500          0.45000        0.0000         13.291
1.6000          0.45000        0.0000         13.362
1.6500          0.45000        0.0000         13.431
1.7000          0.45000        0.0000         13.501
1.7500          0.45000        0.0000         13.568
1.8000          0.45000        0.0000         13.624
1.8500          0.45000        0.0000         13.675
1.9000          0.45000        0.0000         13.727
1.9500          0.45000        0.0000         13.772
2.0000          0.45000        0.0000         13.818
2.0500          0.45000        0.0000         13.845
2.1000          0.45000        0.0000         13.878
2.1500          0.45000        0.0000         13.903
2.2000          0.45000        0.0000         13.928
2.2500          0.45000        0.0000         13.952
2.3000          0.45000        0.0000         13.973
2.3500          0.45000        0.0000         13.983
2.4000          0.45000        0.0000         13.994
2.4500          0.45000        0.0000         14.005
2.5000          0.45000        0.0000         13.998
2.5500          0.45000        0.0000         14.015
2.6000          0.45000        0.0000         14.043
2.6500          0.45000        0.0000         14.044
2.7000          0.45000        0.0000         14.063
2.7500          0.45000        0.0000         14.001
2.8000          0.45000        0.0000         14.014
2.8500          0.45000        0.0000         14.045
2.9000          0.45000        0.0000         14.042
2.9500          0.45000        0.0000         14.034
3.0000          0.45000        0.0000         14.011
0.0000          0.50000        0.0000         6.3866
0.050000        0.50000        0.0000         6.5618
0.10000         0.50000        0.0000         6.9096
0.15000         0.50000        0.0000         7.2868
0.20000         0.50000        0.0000         7.7346
0.25000         0.50000        0.0000         8.1531
0.30000         0.50000        0.0000         8.5666
0.35000         0.50000        0.0000         9.0116
0.40000         0.50000        0.0000         9.3769
0.45000         0.50000        0.0000         9.7465
0.50000         0.50000        0.0000         10.135
0.55000         0.50000        0.0000         10.451
0.60000         0.50000        0.0000         10.751
0.65000         0.50000        0.0000         11.061
0.70000         0.50000        0.0000         11.339
0.75000         0.50000        0.0000         11.588
0.80000         0.50000        0.0000         11.845
0.85000         0.50000        0.0000         12.074
0.90000         0.50000        0.0000         12.287
0.95000         0.50000        0.0000         12.473
1.0000          0.50000        0.0000         12.660
1.0500          0.50000        0.0000         12.829
1.1000          0.50000        0.0000         12.976
1.1500          0.50000        0.0000         13.119
1.2000          0.50000        0.0000         13.243
1.2500          0.50000        0.0000         13.365
1.3000          0.50000        0.0000         13.478
1.3500          0.50000        0.0000         13.590
1.4000          0.50000        0.0000         13.730
1.4500          0.50000        0.0000         13.807
1.5000          0.50000        0.0000         13.893
1.5500          0.50000        0.0000         13.913
1.6000          0.50000        0.0000         13.987
1.6500          0.50000        0.0000         14.124
1.7000          0.50000        0.0000         14.162
1.7500          0.50000        0.0000         14.206
1.8000          0.50000        0.0000         14.244
1.8500          0.50000        0.0000         14.290
1.9000          0.50000        0.0000         14.307
1.9500          0.50000        0.0000         14.356
2.0000          0.50000        0.0000         14.363
2.0500          0.50000        0.0000         14.432
2.1000          0.50000        0.0000         14.469
2.1500          0.50000        0.0000         14.495
2.2000          0.50000        0.0000         14.528
2.2500          0.50000        0.0000         14.549
2.3000          0.50000        0.0000         14.579
2.3500          0.50000        0.0000         14.589
2.4000          0.50000        0.0000         14.599
2.4500          0.50000        0.0000         14.625
2.5000          0.50000        0.0000         14.642
2.5500          0.50000        0.0000         14.659
2.6000          0.50000        0.0000         14.653
2.6500          0.50000        0.0000         14.653
2.7000          0.50000        0.0000         14.654
2.7500          0.50000        0.0000         14.686
2.8000          0.50000        0.0000         14.683
2.8500          0.50000        0.0000         14.675
2.9000          0.50000        0.0000         14.672
2.9500          0.50000        0.0000         14.666
3.0000          0.50000        0.0000         14.644
0.0000          0.55000        0.0000         7.1729
0.050000        0.55000        0.0000         7.3508
0.10000         0.55000        0.0000         7.7156
0.15000         0.55000        0.0000         8.1397
0.20000         0.55000        0.0000         8.5900
0.25000         0.55000        0.0000         9.0235
0.30000         0.55000        0.0000         9.4487
0.35000         0.55000        0.0000         9.8660
0.40000         0.55000        0.0000         10.286
0.45000         0.55000        0.0000         10.684
0.50000         0.55000        0.0000         11.040
0.55000         0.55000        0.0000         11.350
0.60000         0.55000        0.0000         11.656
0.65000         0.55000        0.0000         11.949
0.70000         0.55000        0.0000         12.211
0.75000         0.55000        0.0000         12.460
0.80000         0.55000        0.0000         12.696
0.85000         0.55000        0.0000         12.904
0.90000         0.55000        0.0000         13.086
0.95000         0.55000        0.0000         13.270
1.0000          0.55000        0.0000         13.443
